opratDate,stgSdCd,stgSdNm,stgSggCd,stgSggNm,stgEmdCd,stgEmdNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,useStf,useTm
20260224,11,서울특별시,11110,종로구,1111010100,청운동,11,서울특별시,11200,성동구,1120011400,성수동1가,05,15,1,2297.0
20260224,11,서울특별시,11110,종로구,1111010100,청운동,11,서울특별시,11200,성동구,1120011400,성수동1가,07,45,1,2323.0
20260224,11,서울특별시,11110,종로구,1111010100,청운동,11,서울특별시,11200,성동구,1120011400,성수동1가,14,15,1,2122.0
20260224,11,서울특별시,11110,종로구,1111010100,청운동,11,서울특별시,11200,성동구,1120011400,성수동1가,21,00,1,1998.0
20260224,11,서울특별시,11110,종로구,1111010400,효자동,11,서울특별시,11200,성동구,1120011400,성수동1가,07,30,1,1839.0
20260224,11,서울특별시,11110,종로구,1111010400,효자동,11,서울특별시,11200,성동구,1120011400,성수동1가,08,00,1,1907.0
20260224,11,서울특별시,11110,종로구,1111010400,효자동,11,서울특별시,11200,성동구,1120011400,성수동1가,10,00,1,1660.0
20260224,11,서울특별시,11110,종로구,1111010400,효자동,11,서울특별시,11200,성동구,1120011400,성수동1가,14,15,1,1729.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,05,15,2,2027.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,07,15,2,1605.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,07,45,1,1759.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,08,15,2,1579.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,08,45,1,1445.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,09,00,1,1636.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,09,15,1,1724.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,10,00,1,2116.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,10,45,1,2130.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,11,00,1,1607.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,12,00,1,1749.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,12,30,2,1809.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,12,45,1,2753.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,13,00,1,1803.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,13,15,3,2106.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,13,30,1,2490.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,14,00,1,2025.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,14,15,2,4602.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,14,30,2,2113.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,15,15,1,1450.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,15,30,2,1541.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,15,45,2,1742.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,17,00,2,1604.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,17,15,6,1702.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,17,30,3,1580.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,18,00,4,1575.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,18,15,2,1696.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,18,30,2,1955.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,19,00,1,1425.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,20,15,2,1677.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,20,30,1,1551.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,20,45,1,1878.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011400,성수동1가,21,30,1,1652.0
