opratDate,stgSdCd,stgSdNm,stgSggCd,stgSggNm,stgEmdCd,stgEmdNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,useStf,useTm
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,16,30,3,1969.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,16,45,2,1832.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,17,00,4,2282.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,17,15,6,1991.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,17,45,1,1855.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,18,00,7,1787.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,18,45,1,1746.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,19,00,1,1876.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,19,30,1,1883.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,20,00,1,1862.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,20,15,3,2048.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,20,30,1,1799.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,20,45,2,1792.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,21,00,1,1525.0
20260224,11,서울특별시,11110,종로구,1111010700,적선동,11,서울특별시,11200,성동구,1120011500,성수동2가,22,45,1,2367.0
20260224,11,서울특별시,11110,종로구,1111010800,통인동,11,서울특별시,11200,성동구,1120011500,성수동2가,09,00,1,1705.0
20260224,11,서울특별시,11110,종로구,1111010800,통인동,11,서울특별시,11200,성동구,1120011500,성수동2가,10,45,2,1831.0
20260224,11,서울특별시,11110,종로구,1111010900,누상동,11,서울특별시,11200,성동구,1120011500,성수동2가,07,15,1,2128.0
20260224,11,서울특별시,11110,종로구,1111010900,누상동,11,서울특별시,11200,성동구,1120011500,성수동2가,07,45,1,2400.0
